keywords,organization_name,website,mission_description,population_focus,time_commitment,cost,languages_courses,address,city,state,zip,locations,leadership_contact,title,email,phone_number,when_founded
"Adult learning, online, web development",The Web Academy,http://thewebacademy.org/,"The Web Academy is a 501c3 organization providing FREE online courses in web design to the community and low cost web development services to non profit organizations and low income businesses. The Web Academy is 100% distance learning. All online courses are taught with a live instructor. During class time, students are able to interact with our instructors and ask questions, just like being in an actual classroom. In addition to online training, The Web Academy provides web development services to those organizations that qualify.","Non-profits, low-income businesses",Self-paced,fee-based courses,"Web Development, Graphics Design, Database Administration, Web Analytics, Web Systems Administration, Web Project Management",330 Madison Ave,New York,10165,,N/A,,,info1@thewebacademy.org,(866) 295-7820,2009
"Adult learning, women, online, network","The Women's Coding Collective
(Formerly Codagogy)",http://thewc.co/,"The Women's Coding Collective (formerly Codagogy) is a web development community with a mission to narrow the gender gap in technology by cultivating supportive, no-stupid-questions environments where women can learn, build, and code together. The WCC provides online, collaborative web development courses for women. It was created by Web Start Women.",Various skill levels,Self-paced,Fee-based courses,"HTML, CSS, SEO, JavaScript, jQuery, Wordpress, etc.",,,,,N/A,,,info@codagogy.com,,2012
"Youth learning, adult learning, computer science, girls, women, open source, workshops",Thinkersmith,http://www.thinkersmith.com/,"Thinkersmith (nonprofit) seeks to introduce all ages, races and genders to the fun, passionate and creative side of computer science and computational thinking. They aim specifically to increase equity in the computer sciences as they work to attract and retain girls, women and other non-traditional computer science students. ",Ages 5 to 105,,Fee-based courses,,PO Box 2186,Eugene,OR,97404,"Eugene, OR",,,info@thinkersmith.org,(541) 632-4096,
"Adult learning, in-person, bootcamps, web development, project-based learning, mentors",Thinkful,http://www.thinkful.com/,"Thinkful provides an online 12-week course in front-end web development and a 12-week course in Python. They offer personalized, project-based learning for true beginners and those with years of experience. They have a mentoring component as well.",Various skill levels,12 weeks,$900 for web development; $1500 for Python,"HTML, CSS, JavaScript, jQuery, Git, Bash, Wireframing, Design fundamentals, Python","22 W 21st St.
8th Floor",New York,NY,10010,"New York, NY",Darrell Silver,Co-Founder and CEO,hello@thinkful.com,(858) 367-3232,2013
"Youth learning, in-person, workshops, summer, camps, mentorship, web develpment, game development, robotics",ThoughtSTEM,http://www.thoughtstem.com/,"ThoughtSTEM gets kids excited about computer science and programming. At the moment, they do this in three ways: 1) offering weekly programming workshops in the UTC area, 2) providing 1-on-1 mentorship for children, and 3) providing mentorship to small teams of students. ThoughtSTEM also offers summer camps in web design, video game development, robotics, and other areas.",Ages 8-18,Full-time 3 week series in the summer.,$50/workshop - discounts available,"HTML, JavaScript, JQuery, Java, Objective C",,San Diego,CA,,"California - University City, Del Mar, Carmel Valley, Sorrento Valley, Mira Mesa, Clairemont, La Jolla, Pacific Beach, Kearny Mesa",Sarah E.,CTO/CPO and Co-Founder at ThoughtSTEM ,contact@thoughtstem.com,(858) 869-9430,2012
"Adult learning, corporate",ThoughtWorks University,http://join.thoughtworks.com/graduates,"ThoughtWorks University isn't your average entry-level on-boarding program. Yes it's designed for people with little work experience, and those moving into the world of software, but that's where the similarity ends. You don't have months of shadowing and being treated like you know nothing, you won't be expected to make coffee. Or tea. You will spend six weeks at TWU with ThoughtWorkers from all over the world, discovering the practices and principles that have made ThoughtWorks successful. You aren't being lectured, you are working on a real project, building working software, from day one. By the end of the program you'll have 160 hours of real-world experience in what you do.",Folks interested in working at ThoughtWorks,6 weeks,,,"200 E Randolph St
25th Floor",Chicago,IL,60601,India,,,info-us@thoughtworks.com,(312) 373-1000,
"Youth learning, software/app, programming language, video game",Toontalk,http://www.toontalk.com/,"ToonTalk is a completely new kind of software -- both a state-of-the-art programming language and a video game. Children create programs by performing actions in an animated world. But ToonTalk isn't just a video game for teaching programming -- the very act of building, running, and debugging programs is like playing an adventure game.","Youth, beginners",Self-paced,Free,Toontalk,,,,,N/A,Ken Kahn,,KenKahn@ToonTalk.com,,
"Adult learning, in-person, UX",Tradecraft,http://www.tradecrafted.com/,"Tradecraft is a full time, 12-week, in-person immersive training program in San Francisco for people who want to become either a ux designer, growth hacker or sales and business development professional. The program has been designed by industry leading experts to ensure that you graduate with both the depth and breadth of knowledge you’ll need to make meaningful contributions on your first day at a high-growth startup. Once you select your vertical focus you will work with a large group of world-class mentors and a small group of inspiring peers to learn new skills while doing real work for real companies.",Adults,12 weeks,"$12,000",,,,,,"San Francisco, CA",,,,,
"Adult learning, online, IT",Trainsignal,http://www.trainsignal.com/,"Now owned by Pluralsight, TrainSignal is a Chicago-based company that provides computer training for IT professionals. ",Adults,Self-paced,$49/month,"Microsoft, vmware, CompTIA, CISCO, CITRIX",152 W. Center Ct.,Schaumburg,IL,60195,N/A,,,support@trainsignal.com,(888) 229-5055,2002
"Adult learning, in-person, underrepresented",TranscodeSF,http://transcodesf.org/,"TranscodeSF hopes to teach trans, gender-queer, or otherwise gender-variant folks computer programming and software engineering skills. The class is entirely free, and all the equipment you'll need to succeed at it will be provided.","Trans, genderqueer, and gender non-conforming folks","Two nights a week, 90 minutes each.",Free,"Python, basic Linux skills, software engineering methodology, and software design",,,,,"San Francisco, CA",Naomi Seyfer,instructor,info@transcodesf.org,,
"Adult learning, online, web development, mobile",Treehouse,http://teamtreehouse.com/,"The extensive Treehouse library of step-by-step video courses and training exercises will give you a wide range of competitive, in-demand technology skills that will help you land your next dream job or build your startup idea.",Various skill levels,Self-paced,$25/month for Silver plan; $49/month for Gold plan; 2 month discount for yearly subscription,"Web development, programming, android, iOs, design, etc.",,,,,N/A,,,help@teamtreehouse.com,,2011
